school,admarea,district,ege_good,ege_bad,oge_score
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1349»,Восточный административный округ,район Богородское,4,14,18
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Технологический колледж № 21»,Восточный административный округ,район Метрогородок,2,4,12
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1591»,Восточный административный округ,район Новокосино,49,97,125
Частное учреждение общеобразовательная организация «Европейская гимназия»,Восточный административный округ,район Сокольники,1,2,10
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1726»,Западный административный округ,район Дорогомилово,17,51,57
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1593»,Западный административный округ,район Крылатское,27,41,63
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1195»,Западный административный округ,Можайский район,22,62,103
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1692»,Зеленоградский административный округ,район Силино,6,29,44
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 853»,Зеленоградский административный округ,район Старое Крюково,78,112,116
Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 2»,Северный административный округ,район Аэропорт,1,4,6
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1213»,Северный административный округ,Тимирязевский район,8,25,37
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 648 имени Героя Российской Федерации А.Г. Карлова»,Северный административный округ,район Ховрино,16,35,116
Общеобразовательное частное учреждение «Православная классическая гимназия во имя иконы Божией Матери «Знамение» в Ховрине»,Северный административный округ,район Ховрино,6,8,7
Государственное бюджетное общеобразовательное учреждение города Москвы «Многопрофильная школа № 1449 имени Героя Советского Союза М.В. Водопьянова»,Северо-Восточный административный округ,район Лианозово,30,63,85
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 763»,Северо-Восточный административный округ,Лосиноостровский район,36,99,132
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1494»,Северо-Восточный административный округ,район Марфино,27,76,110
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1519»,Северо-Западный административный округ,район Строгино,74,112,139
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1551»,Северо-Западный административный округ,район Южное Тушино,41,71,103
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2075»,Троицкий административный округ,поселение Краснопахорское,17,45,65
Негосударственное образовательное частное учреждение средняя общеобразовательная школа «ПРЕМЬЕРСКИЙ лИЦЕЙ»,Новомосковский административный округ,поселение Марушкинское,0,3,6
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа на Яузе»,Центральный административный округ,Басманный район,38,82,94
Общеобразовательная организация частное учреждение «Классическая гимназия при Греко-латинском кабинете Ю.А. Шичалина»,Центральный административный округ,Мещанский район,3,4,3
Частное общеобразовательное учреждение – гимназия «Московская экономическая школа»,Центральный административный округ,Пресненский район,18,26,33
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 498»,Центральный административный округ,Таганский район,50,110,122
Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа № 1785 «Таганский кадетский корпус»,Центральный административный округ,Таганский район,0,4,11
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1253»,Центральный административный округ,район Хамовники,161,186,185
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 825»,Юго-Восточный административный округ,район Кузьминки,16,40,65
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2010 имени героя Советского Союза М.П. Судакова»,Юго-Восточный административный округ,район Люблино,18,59,98
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 386»,Восточный административный округ,район Богородское,0,6,30
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2072»,Восточный административный округ,район Новогиреево,25,48,72
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2126 «Перово»,Восточный административный округ,район Перово,23,64,89
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1080»,Восточный административный округ,район Преображенское,13,42,63
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1301 имени Е.Т. Гайдара»,Восточный административный округ,район Соколиная Гора,8,24,38
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 56 имени академика В.А. Легасова»,Западный административный округ,район Дорогомилово,23,40,42
Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс ЗАПАД»,Западный административный округ,район Кунцево,4,9,12
Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 11 «Московский дипломатический кадетский корпус»,Западный административный округ,район Кунцево,9,25,52
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Интеграл»,Западный административный округ,район Филёвский Парк,29,54,113
общеобразовательное учреждение средняя общеобразовательная школа «Первая Школа»,Северный административный округ,район Западное Дегунино,11,24,77
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1252 имени Сервантеса»,Северный административный округ,район Сокол,28,35,47
